"","District","room_id","host_id","room_type","reviews","overall_satisfaction","price","minstay","latitude","longitude","rate"
"58","Allston/Brighton",3419711,9189449,"Private room",39,4.5,66,1,42.3501193636364,-71.1421625454545,10.6537594837127
"59","Allston/Brighton",1545185,697401,"Entire home/apt",29,4.5,140,1,42.348399,-71.156963,10.6537594837127
"60","Allston/Brighton",13222465,73841295,"Private room",9,5,110,1,42.349934,-71.171789,10.6537594837127
"61","Allston/Brighton",8515356,26956083,"Private room",7,5,82,2,42.358682875,-71.1414255,10.6537594837127
"62","Allston/Brighton",11757251,26873897,"Private room",3,1,30,1,42.345383,-71.137643,10.6537594837127
"63","Allston/Brighton",8518237,44851947,"Entire home/apt",30,5,226,2,42.340999,-71.159945,10.6537594837127
"64","Allston/Brighton",13239046,74369413,"Entire home/apt",6,4.5,76,1,42.337989,-71.153979,10.6537594837127
"65","Allston/Brighton",4773887,10859317,"Entire home/apt",2,1,75,3,42.351635,-71.125768,10.6537594837127
"66","Allston/Brighton",1576961,110266,"Private room",13,4.3,61,1,42.3501148,-71.1337738,10.6537594837127
"67","Allston/Brighton",4786562,24642818,"Private room",1,2,120,1,42.351922,-71.125059,10.6537594837127
"68","Allston/Brighton",3465433,8654826,"Private room",3,4,80,5,42.341798,-71.167325,10.6537594837127
"69","Allston/Brighton",13264687,73947522,"Shared room",4,3.8,40,1,42.356393,-71.163964,10.6537594837127
"70","Allston/Brighton",13266020,74714310,"Private room",4,4,40,1,42.346155,-71.145811,10.6537594837127
"71","Allston/Brighton",13266020,74714310,"Shared room",12,4.5,40,1,42.346155,-71.145811,10.6537594837127
"72","Allston/Brighton",7527677,32304279,"Private room",2,2,133,7,42.358993,-71.128838,10.6537594837127
"73","Allston/Brighton",9885963,4365676,"Private room",10,5,35,5,42.361276,-71.12396,10.6537594837127
"74","Allston/Brighton",14572515,54553266,"Private room",4,5,50,1,42.351073,-71.126799,10.6537594837127
"75","Allston/Brighton",15765466,8139434,"Entire home/apt",3,4.5,84,1,42.351593,-71.14345,10.6537594837127
"76","Allston/Brighton",8552338,17892292,"Private room",1,3,50,4,42.360225,-71.133558,10.6537594837127
"77","Allston/Brighton",9896713,19509044,"Entire home/apt",59,4.5,101,1,42.347416,-71.167319,10.6537594837127
"78","Allston/Brighton",2227959,2005394,"Private room",145,4.5,65,1,42.344889,-71.137144,10.6537594837127
"79","Allston/Brighton",7894645,30489899,"Private room",5,4.6,43,18,42.355148,-71.138,10.6537594837127
"80","Allston/Brighton",5481930,26367207,"Private room",5,4.5,135,1,42.351274,-71.13033,10.6537594837127
"81","Allston/Brighton",7178959,25149387,"Entire home/apt",13,4,100,1,42.352832,-71.130917,10.6537594837127
"82","Allston/Brighton",7179242,31476113,"Private room",4,3.5,85,1,42.351616,-71.139692,10.6537594837127
"83","Allston/Brighton",4854300,7055526,"Entire home/apt",8,5,115,3,42.337457,-71.147732,10.6537594837127
"84","Allston/Brighton",13674701,79566228,"Entire home/apt",10,5,165,1,42.35083,-71.164106,10.6537594837127
"85","Allston/Brighton",8579799,5992030,"Entire home/apt",7,5,185,4,42.3497596,-71.1293108,10.6537594837127
"86","Allston/Brighton",72811,378555,"Private room",120,4.5,62,2,42.356861,-71.130578,10.6537594837127
"87","Allston/Brighton",76073,405376,"Entire home/apt",52,4.5,403,2,42.352725,-71.16882,10.6537594837127
"88","Allston/Brighton",8581702,45164069,"Private room",3,4,47,1,42.352547,-71.125839,10.6537594837127
"89","Allston/Brighton",3595315,8654826,"Private room",2,3.5,70,90,42.342018,-71.166757,10.6537594837127
"90","Allston/Brighton",7583341,38414169,"Private room",2,4.5,41,1,42.338453,-71.148032,10.6537594837127
"91","Allston/Brighton",6373729,32041326,"Private room",1,5,75,2,42.352014,-71.140472,10.6537594837127
"92","Allston/Brighton",9957078,51166219,"Entire home/apt",12,4.9,104,1,42.344693,-71.148792,10.6537594837127
"93","Allston/Brighton",95453,508268,"Entire home/apt",11,5,175,5,42.359372,-71.13156,10.6537594837127
